imageID,username,imageName,groundTruthSize,experience,imgW,imgH,tissueArea,tumorArea,annoArea,groundTruth,diagnosis,diagnosisBinary,diagnosisError,correctness,magnification,taskCompletionTime,cancerType,tumorTissueRatio,imgPrecision,imgRecall,imgIoU,imgF1,imgF05,imgF025,tpArea,fpArea,fnArea,tnArea,overallAcc,overallPrecision,overallRecall,overallF1,overallF05,overallF025,meanPrecision,meanRecall,meanIoU,meanF1,meanF05,meanF025,zoom,imageZoom,numFixations,numFixationsInGT,fixationDuration,fixationDurationInGT,timeToFirstGTFix,saccadeDistance,saccadeSpeed,eccentricity,fixationDistToCenter,coverage,turnAngle
C1,P1,test_001.tif,Macro,2,86016,89600,1170698,97226,84722,1,Malignant,1,TP,1,40,22.506,Lymph,0.0717093563,0.8904761905,0.7395354378,0.6778765313,0.8080171797,0.855552187,0.8799119611,62084,7636,21866,1079112,0.65,1,0.5333333333,0.6956521739,0.8510638298,0.951048951,0.6,0.48,0.46,0.51,0.55,0.58,7.595,0.122,30,23,386.9,313.3913,524,10508.5,23.77648,64.04006,498.8086,0.104924,98.58703
C1,P10,test_001.tif,Macro,1,86016,89600,1170698,97226,107758,1,Malignant,1,TP,1,40,60.506,Lymph,0.0717093563,0.8607687362,0.9408576534,0.8165849927,0.8990330714,0.8756768383,0.8651005137,78985,12776,4965,1073972,0.55,1,0.4,0.5714285714,0.7692307692,0.9189189189,0.48,0.47,0.42,0.46,0.47,0.47,5.463,0.0878,148,74,275.027,307.8514,3061,4707.026,15.63028,112.1362,356.3669,0.141934,77.35912
C1,P11,test_001.tif,Macro,3,86016,89600,1170698,97226,247166,1,Malignant,1,TP,1,40,14.282,Lymph,0.0717093563,0.4345398806,0.9624061942,0.4272870546,0.5987401808,0.4880809985,0.4490272424,80794,105136,3156,981612,0.8833333333,0.975,0.8666666667,0.9176470588,0.9512195122,0.9678832117,0.56,0.71,0.5,0.58,0.56,0.56,1,0.0161,21,1,264.7143,292,5692,16750.56,46.27314,98.23616,410.0134,0.166759,94.70135
C1,P2,test_001.tif,Macro,1,86016,89600,1170698,97226,151783,1,Malignant,1,TP,1,40,33.381,Lymph,0.0717093563,0.6546486259,0.8506611078,0.587166901,0.7398930769,0.686275452,0.6636438776,71413,37673,12537,1049075,0.6333333333,1,0.5111111111,0.6764705882,0.8394160584,0.9467312349,0.49,0.5,0.42,0.48,0.48,0.48,7.595,0.122,37,28,262.1622,263.9643,639,6715.299,20.72407,72.34411,295.4021,0.08255,93.12156
C1,P3,test_001.tif,Macro,3,86016,89600,1170698,97226,25754,1,Malignant,1,TP,1,40,36.002,Lymph,0.0717093563,0.9918101055,0.2553305539,0.2547933482,0.4061120479,0.6289686499,0.847938996,21435,177,62515,1086571,0.8,1,0.7333333333,0.8461538462,0.9322033898,0.9790575916,0.65,0.44,0.4,0.47,0.51,0.57,7.595,0.122,38,27,299.7632,344.7778,1374,11866.77,33.31508,96.05322,487.1047,0.142034,94.58947
C1,P4,test_001.tif,Macro,2,86016,89600,1170698,97226,49484,1,Malignant,1,TP,1,40,19.263,Lymph,0.0717093563,0.9650780508,0.4720547945,0.4641267685,0.6339980642,0.7983215284,0.9092188761,39629,1434,44321,1085314,0.7833333333,0.9210526316,0.7777777778,0.843373494,0.8883248731,0.911179173,0.62,0.49,0.43,0.51,0.54,0.58,3.375,0.0542,28,11,341.6429,259.9091,5839,9782.378,27.37737,199.7995,336.7802,0.110189,110.0099
C1,P5,test_001.tif,Macro,1,86016,89600,1170698,97226,59100,1,Malignant,1,TP,1,40,27.83,Lymph,0.0717093563,0.9507997746,0.5225491364,0.5087914637,0.6744357666,0.8169026674,0.9070713902,43868,2270,40082,1084478,0.6833333333,1,0.5777777778,0.7323943662,0.8724832215,0.9587852495,0.55,0.5,0.43,0.5,0.52,0.53,5.063,0.0814,26,22,257.7308,275.4091,776,3745.191,13.5357,27.11848,475.259,0.04612,96.73601
C1,P6,test_001.tif,Macro,3,86016,89600,1170698,97226,151844,1,Malignant,1,TP,1,40,21.436,Lymph,0.0717093563,0.7059984004,0.9463490173,0.6788283747,0.8086929967,0.7437789054,0.7167058474,79446,33084,4504,1053664,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.51,0.53,0.46,0.51,0.5,0.5,1,0.0161,24,6,396.5,437.5,670,13665.88,29.5073,88.50252,448.3819,0.14369,83.86033
C1,P7,test_001.tif,Macro,4,86016,89600,1170698,97226,114262,1,Malignant,1,TP,1,40,53.504,Lymph,0.0717093563,0.7710415613,0.8536748064,0.6810350562,0.8102568161,0.78626316,0.7754569722,71666,21281,12284,1065467,0.6666666667,1,0.5555555556,0.7142857143,0.8620689655,0.9550561798,0.54,0.56,0.48,0.54,0.54,0.54,3.375,0.0542,75,13,149.12,112.7692,33995,6687.63,15.06052,253.4666,309.7485,0.126054,88.77029
C1,P8,test_001.tif,Macro,4,86016,89600,1170698,97226,83607,1,Malignant,1,TP,1,40,9.565,Lymph,0.0717093563,0.8742538106,0.5390589637,0.5002708409,0.6669073707,0.7775547934,0.8434043225,45254,6509,38696,1080239,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.46,0.46,0.39,0.44,0.45,0.46,1,0.0161,10,4,126.6,95.75,1217,18123.33,21.13981,144.4406,337.4783,0.087488,78.47236
C1,P9,test_001.tif,Macro,2,86016,89600,1170698,97226,218604,1,Malignant,1,TP,1,40,35.506,Lymph,0.0717093563,0.5539541161,0.9779154258,0.5471097072,0.7072668533,0.6065459919,0.5684508075,82096,66104,1854,1020644,0.6166666667,1,0.4888888889,0.6567164179,0.8270676692,0.9420654912,0.45,0.54,0.43,0.48,0.46,0.45,1,0.0161,62,30,314.1774,360.0667,1052,10474.78,31.45493,77.0729,428.9412,0.174775,98.12695
