,trialID,pID,imageID,imgW,imgH,zoom,imageZoom,relativeTimestamp,taskCompletionTime,experience,imageName,cancerType,diagnosis,groundTruth,distanceToGroundtruth,groundTruthSubType,groundTruthSize,maskOverlappingWithMask,magnification,error,search,recognition,decision
0,58,P1,C1,86016,89600,7.595,0.122,22812,22.812,2,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.67,40,,7,21,2
1,5,P10,C1,86016,89600,5.463,0.0878,60506,60.506,1,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.81,40,,73,70,5
2,56,P11,C1,86016,89600,1.0,0.0161,14282,14.282,3,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,,40,,20,1,0
3,29,P2,C1,86016,89600,7.595,0.122,33381,33.381,1,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.51,40,,9,26,2
4,1,P3,C1,86016,89600,7.595,0.122,36002,36.002,3,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.13,40,,11,24,3
5,22,P4,C1,86016,89600,3.375,0.0542,19263,19.263,2,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.48,40,,17,11,0
6,21,P5,C1,86016,89600,5.063,0.0814,27830,27.83,1,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.51,40,,4,21,1
8,43,P7,C1,86016,89600,3.375,0.0542,53504,53.504,4,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.65,40,,62,13,0
9,17,P8,C1,86016,89600,1.0,0.0161,9565,9.565,4,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.43,40,,6,4,0
10,25,P9,C1,86016,89600,1.0,0.0161,35506,35.506,2,test_001.tif,Lymph,Malignant,1,0.0,IDC,Macro,,40,,32,25,5
11,22,P1,C41,97792,221184,20.226,0.1317,73850,73.85,2,test_002.tif,Lymph,Malignant,1,0.0,ILC,Macro,0.41,20,,115,69,3
12,20,P10,C10,96768,211968,11.389,0.0774,67470,67.47,1,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.52,20,,121,34,1
13,12,P11,C10,96768,211968,11.389,0.0774,67774,67.774,3,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,,20,,111,42,5
14,21,P2,C10,96768,211968,65.415,0.4444,94653,94.653,1,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.46,20,,133,91,3
15,58,P3,C10,96768,211968,5.062,0.0344,79769,79.769,3,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.19,20,,118,73,4
16,54,P4,C10,96768,211968,2.25,0.0153,42222,42.222,2,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.11,20,,38,55,2
17,53,P5,C10,96768,211968,17.084,0.1161,49435,49.435,1,test_051.tif,Lymph,Malignant,1,0.0,IDC,Macro,0.22,20,,67,53,1
19,13,P7,C10,96768,211968,2.25,0.0153,59537,59.537,4,test_051.tif,Lymph,Benign,1,-1.0,IDC,Macro,0.0,20,search,16,0,0
20,43,P8,C10,96768,211968,2.25,0.0153,14399,14.399,4,test_051.tif,Lymph,Benign,1,-1.0,IDC,Macro,0.0,20,recognition,23,2,0
21,3,P9,C10,96768,211968,8.614,0.0585,255043,255.043,2,test_051.tif,Lymph,Neoplastic,1,-1.0,IDC,Macro,,20,decision,302,453,10
22,51,P1,C42,98304,103936,1.0,0.0139,34350,34.35,2,test_004.tif,Lymph,Benign,1,-1.0,IDC,Micro,0.0,40,search,89,0,0
23,12,P10,C11,97792,219648,30.129,0.1975,86625,86.625,1,test_052.tif,Lymph,Benign,1,-1.0,IDC,Micro,0.0,20,search,256,0,0
